Timestamp,PlaybackTime,VideoFrame,UnitQuaternion.x,UnitQuaternion.y,UnitQuaternion.z,UnitQuaternion.w,HmdPosition.x,HmdPosition.y,HmdPosition.z,EulerYaw,EulerPitch,EulerRoll,VelYaw,VelPitch,VelRoll
2.2151,1.900,57,0.025920,0.149779,0.022389,0.988126,-0.064115,1.077575,-0.237801,17.3049,2.5515,2.9843,-6.0846,8.6481,-10.8291
2.2286,1.900,57,0.026619,0.149290,0.022188,0.988186,-0.064155,1.077354,-0.237928,17.2504,2.6357,2.9724,-4.0260,6.2137,-0.8795
2.2430,1.933,58,0.027121,0.149098,0.023457,0.988172,-0.064023,1.077126,-0.238004,17.2332,2.6712,3.1245,-1.1878,2.4686,10.5589
2.2566,1.933,58,0.027564,0.149358,0.025874,0.988060,-0.063828,1.076962,-0.238059,17.2715,2.6790,3.4070,2.8246,0.5773,20.8486
2.2700,1.967,59,0.028042,0.149911,0.028825,0.987881,-0.063592,1.076847,-0.238080,17.3455,2.6803,3.7515,5.5058,0.0923,25.6592
2.2842,1.967,59,0.028887,0.150827,0.032184,0.987614,-0.063371,1.076740,-0.238106,17.4644,2.7140,4.1499,8.4018,2.3825,28.1324
2.2987,2.000,60,0.030071,0.151775,0.035661,0.987314,-0.063216,1.076578,-0.238168,17.5898,2.7830,4.5679,8.6296,4.7502,28.7724
2.3130,2.000,60,0.031547,0.152854,0.038996,0.986975,-0.063099,1.076372,-0.238279,17.7325,2.8861,4.9755,9.9911,7.2205,28.5406
2.3259,2.000,60,0.032991,0.154239,0.041673,0.986603,-0.063019,1.076142,-0.238427,17.9095,2.9947,5.3094,13.6843,8.3871,25.8023
2.3405,2.033,61,0.034274,0.155926,0.043920,0.986196,-0.062951,1.075950,-0.238591,18.1201,3.0900,5.5928,14.4976,6.5617,19.5151
2.3540,2.033,61,0.035184,0.157794,0.045650,0.985789,-0.062896,1.075878,-0.238767,18.3482,3.1507,5.8117,16.8300,4.4774,16.1507
2.3676,2.067,62,0.035760,0.159779,0.047257,0.985372,-0.062823,1.075897,-0.238927,18.5875,3.1743,6.0111,17.6599,1.7433,14.7147
2.3815,2.067,62,0.035796,0.161647,0.048849,0.984989,-0.062712,1.076015,-0.239072,18.8094,3.1371,6.1980,15.9475,-2.6744,13.4347
2.3953,2.067,62,0.035453,0.163442,0.050270,0.984633,-0.062575,1.076157,-0.239195,19.0195,3.0601,6.3580,15.2323,-5.5775,11.6010
2.4105,2.100,63,0.034581,0.165087,0.051314,0.984336,-0.062436,1.076400,-0.239293,19.2070,2.9311,6.4643,12.2863,-8.4533,6.9663
2.4231,2.100,63,0.033523,0.166610,0.051874,0.984087,-0.062338,1.076680,-0.239372,19.3774,2.7911,6.5115,13.5504,-11.1411,3.7487
2.4381,2.133,64,0.032322,0.167995,0.052134,0.983878,-0.062277,1.076970,-0.239443,19.5299,2.6414,6.5210,10.1597,-9.9652,0.6346
2.4513,2.133,64,0.031166,0.169101,0.052221,0.983721,-0.062244,1.077262,-0.239514,19.6499,2.5021,6.5108,9.1058,-10.5707,-0.7711
2.4645,2.167,65,0.030069,0.170105,0.052339,0.983576,-0.062228,1.077527,-0.239605,19.7587,2.3695,6.5047,8.2494,-10.0579,-0.4633
2.4790,2.167,65,0.029050,0.170738,0.052493,0.983488,-0.062225,1.077788,-0.239802,19.8250,2.2474,6.5032,4.5616,-8.4024,-0.1049
2.4926,2.167,65,0.028100,0.171091,0.052691,0.983444,-0.062249,1.078022,-0.239986,19.8594,2.1341,6.5074,2.5407,-8.3597,0.3110
